Date,Open,High,Low,Close,Adj Close,Volume
2019-10-02,0.285000,0.325000,0.256000,0.310000,0.310000,1569100
2019-10-03,0.304000,0.340000,0.304000,0.331000,0.331000,842500
2019-10-04,0.340000,0.363000,0.320000,0.330000,0.330000,664300
2019-10-07,0.328000,0.330000,0.299000,0.299000,0.299000,825000
2019-10-08,0.300000,0.308000,0.281000,0.306000,0.306000,697200
2019-10-09,0.294000,0.300000,0.285000,0.289000,0.289000,521900
2019-10-10,0.290000,0.297000,0.276000,0.280000,0.280000,802700
2019-10-11,0.284000,0.300000,0.270000,0.292000,0.292000,546600
2019-10-14,0.300000,0.300000,0.271000,0.297000,0.297000,176100
2019-10-15,0.315000,0.315000,0.295000,0.295000,0.295000,287900
2019-10-16,0.312000,0.318000,0.291000,0.295000,0.295000,277200
2019-10-17,0.285000,0.303000,0.285000,0.303000,0.303000,344400
2019-10-18,0.306000,0.315000,0.291000,0.310000,0.310000,483700
2019-10-21,0.280000,0.331000,0.280000,0.324000,0.324000,721200
2019-10-22,0.329000,0.338000,0.298000,0.320000,0.320000,476200
2019-10-23,0.311000,0.320000,0.295000,0.310000,0.310000,168800
2019-10-24,0.303000,0.323000,0.303000,0.319000,0.319000,316700
2019-10-25,0.325000,0.325000,0.309000,0.314000,0.314000,276000
2019-10-28,0.307000,0.320000,0.305000,0.310000,0.310000,771400
2019-10-29,0.285000,0.320000,0.285000,0.304000,0.304000,957000
2019-10-30,0.277000,0.306000,0.277000,0.300000,0.300000,347800
2019-10-31,0.324000,0.403000,0.298000,0.385000,0.385000,4485500
2019-11-01,0.395000,0.408000,0.345000,0.367000,0.367000,1616800
2019-11-04,0.365000,0.379000,0.325000,0.330000,0.330000,1095900
2019-11-05,0.330000,0.359000,0.299000,0.349000,0.349000,562800
2019-11-06,0.350000,0.359000,0.338000,0.350000,0.350000,313900
2019-11-07,0.357000,0.381000,0.355000,0.370000,0.370000,780200
2019-11-08,0.370000,0.396000,0.364000,0.390000,0.390000,873800
2019-11-11,0.361000,0.398000,0.361000,0.374000,0.374000,873700
2019-11-12,0.384000,0.384000,0.370000,0.379000,0.379000,442700
2019-11-13,0.379000,0.379000,0.340000,0.350000,0.350000,774100
2019-11-14,0.348000,0.358000,0.319000,0.330000,0.330000,1139800
2019-11-15,0.320000,0.365000,0.317000,0.359000,0.359000,554900
2019-11-18,0.380000,0.380000,0.351000,0.361000,0.361000,623200
2019-11-19,0.323000,0.379000,0.323000,0.373000,0.373000,330700
2019-11-20,0.389000,0.432000,0.376000,0.420000,0.420000,1950700
2019-11-21,0.443000,0.465000,0.420000,0.447000,0.447000,1120400
2019-11-22,0.453000,0.465000,0.420000,0.439000,0.439000,630100
2019-11-25,0.435000,0.443000,0.405000,0.432000,0.432000,416600
2019-11-26,0.444000,0.482000,0.431000,0.475000,0.475000,1439200
2019-11-27,0.480000,0.490000,0.461000,0.464000,0.464000,601200
2019-11-29,0.483000,0.490000,0.464000,0.490000,0.490000,331800
2019-12-02,0.489000,0.500000,0.469000,0.482000,0.482000,1104700
2019-12-03,0.466000,0.529000,0.466000,0.500000,0.500000,854800
2019-12-04,0.517000,0.560000,0.505000,0.547000,0.547000,1569400
2019-12-05,0.550000,0.571000,0.540000,0.550000,0.550000,1161500
2019-12-06,0.524000,0.566000,0.524000,0.560000,0.560000,909400
2019-12-09,0.549000,0.568000,0.505000,0.520000,0.520000,1152500
2019-12-10,0.509000,0.540000,0.481000,0.527000,0.527000,982100
2019-12-11,0.516000,0.553000,0.505000,0.523000,0.523000,339400
2019-12-12,0.521000,0.524000,0.493000,0.495000,0.495000,661800
2019-12-13,0.476000,0.507000,0.476000,0.500000,0.500000,671700
2019-12-16,0.472000,0.500000,0.467000,0.467000,0.467000,519700
2019-12-17,0.470000,0.481000,0.423000,0.436000,0.436000,1360200
2019-12-18,0.440000,0.449000,0.419000,0.430000,0.430000,538400
2019-12-19,0.433000,0.437000,0.400000,0.420000,0.420000,1145600
2019-12-20,0.387000,0.460000,0.387000,0.450000,0.450000,641100
2019-12-23,0.433000,0.447000,0.420000,0.430000,0.430000,630700
2019-12-24,0.432000,0.432000,0.412000,0.420000,0.420000,303600
2019-12-26,0.395000,0.433000,0.395000,0.427000,0.427000,263800
2019-12-27,0.412000,0.480000,0.412000,0.477000,0.477000,457100
2019-12-30,0.490000,0.495000,0.450000,0.460000,0.460000,853300
2019-12-31,0.476000,0.481000,0.444000,0.474000,0.474000,435200
2020-01-02,0.445000,0.489600,0.427500,0.449200,0.449200,551204
